PERIODO;PM10
2023-11-04 21;100.04
2023-11-04 22;98.97
2023-11-04 23;95.55
2023-11-05 00;73
2023-11-05 01;69.58
2023-11-05 02;77.01
2023-11-05 03;80.52
2023-11-05 04;57.92
2023-11-05 05;79.03
2023-11-05 06;72.28
2023-11-05 07;100.4
2023-11-05 08;138.7
2023-11-05 09;145.95
2023-11-05 10;126.78
2023-11-05 11;131.79
2023-11-05 12;130.65
2023-11-05 13;109.13
2023-11-05 14;99.96
2023-11-05 15;82.48
2023-11-05 16;88.93
2023-11-05 17;96.33
2023-11-05 18;100.58
2023-11-05 19;86.29
2023-11-05 20;96.9
2023-11-05 21;98.2
2023-11-05 22;99.03
2023-11-05 23;82.7
2023-11-06 00;68.11
2023-11-06 01;62.37
2023-11-06 02;41.55
2023-11-06 03;27.17
2023-11-06 04;33.2
2023-11-06 05;33.92
2023-11-06 06;27.6
2023-11-06 07;42.92
2023-11-06 08;60.37
2023-11-06 09;98.68
2023-11-06 10;108.57
2023-11-06 11;103.15
2023-11-06 12;78.81
2023-11-06 13;83.28
2023-11-06 14;76.01
2023-11-06 15;70.09
2023-11-06 16;58.53
2023-11-06 17;70.06
2023-11-06 18;57.67
2023-11-06 19;58.26
2023-11-06 20;45.13
2023-11-06 21;53.75
2023-11-06 22;45.23
2023-11-06 23;60.92
2023-11-07 00;63.29
2023-11-07 01;39.22
2023-11-07 02;35.69
2023-11-07 03;34.52
2023-11-07 04;36.33
2023-11-07 05;52.19
2023-11-07 06;54.23
2023-11-07 07;82.92
2023-11-07 08;93.34
2023-11-07 09;111.83
2023-11-07 10;
2023-11-07 11;
2023-11-07 12;153.94
2023-11-07 13;150.04
2023-11-07 14;164.07
2023-11-07 15;174.67
2023-11-07 16;154.75
2023-11-07 17;143.14
2023-11-07 18;139.34
2023-11-07 19;137.26
2023-11-07 20;137.01
2023-11-07 21;143.59
2023-11-07 22;154.78
2023-11-07 23;157.16
2023-11-08 00;146.98
2023-11-08 01;131.81
2023-11-08 02;120.46
2023-11-08 03;92.67
2023-11-08 04;84.17
2023-11-08 05;189.6
2023-11-08 06;217.52
2023-11-08 07;237.77
2023-11-08 08;214.54
2023-11-08 09;186.93
2023-11-08 10;190.43
2023-11-08 11;190.5
2023-11-08 12;215.1
2023-11-08 13;212.77
2023-11-08 14;180.25
2023-11-08 15;140.69
2023-11-08 16;190.28
2023-11-08 17;151.58
2023-11-08 18;134.43
2023-11-08 19;144.81
2023-11-08 20;120.98
2023-11-08 21;117.96
2023-11-08 22;103.92
2023-11-08 23;126.67
2023-11-09 00;126.5
2023-11-09 01;124.24
2023-11-09 02;113.5
2023-11-09 03;123.85
2023-11-09 04;111.6
2023-11-09 05;120.08
2023-11-09 06;115.07
2023-11-09 07;168.87
2023-11-09 08;191.12
2023-11-09 09;235.16
2023-11-09 10;241.34
2023-11-09 11;218.19
2023-11-09 12;193.49
2023-11-09 13;181.88
2023-11-09 14;194.02
2023-11-09 15;169.11
2023-11-09 16;153.45
2023-11-09 17;120.21
2023-11-09 18;98.67
2023-11-09 19;92.83
2023-11-09 20;103.54
2023-11-09 21;105.72
2023-11-09 22;127.7
2023-11-09 23;136.72
2023-11-10 00;123.87
2023-11-10 01;133.08
2023-11-10 02;153.83
2023-11-10 03;110.68
2023-11-10 04;131.64
2023-11-10 05;100.07
2023-11-10 06;63.51
2023-11-10 07;67.85
2023-11-10 08;115.09
2023-11-10 09;98.52
2023-11-10 10;102.53
2023-11-10 11;98.25
2023-11-10 12;110.17
2023-11-10 13;144.96
2023-11-10 14;139.97
2023-11-10 15;163.93
2023-11-10 16;173.88
2023-11-10 17;149.18
2023-11-10 18;96.33
2023-11-10 19;131.02
2023-11-10 20;82.55
2023-11-10 21;108.17
2023-11-10 22;141.36
2023-11-10 23;162.33
2023-11-11 00;116.91
2023-11-11 01;119.02
2023-11-11 02;121.28
2023-11-11 03;147.48
2023-11-11 04;161.42
2023-11-11 05;140.77
2023-11-11 06;133.11
2023-11-11 07;147
2023-11-11 08;159.74
2023-11-11 09;193.22
2023-11-11 10;191.99
2023-11-11 11;165.61
2023-11-11 12;211.48
2023-11-11 13;185.68
2023-11-11 14;147.64
2023-11-11 15;119.57
2023-11-11 16;135.78
2023-11-11 17;157.7
2023-11-11 18;121.1
2023-11-11 19;140.84
2023-11-11 20;169.34
2023-11-11 21;160.29
2023-11-11 22;142.58
2023-11-11 23;160.46
2023-11-12 00;119.87
2023-11-12 01;92.06
2023-11-12 02;172.95
2023-11-12 03;148.83
2023-11-12 04;163.31
2023-11-12 05;237.87
2023-11-12 06;233.43
2023-11-12 07;255.79
2023-11-12 08;180.05
2023-11-12 09;179.1
2023-11-12 10;185.19
2023-11-12 11;177.21
2023-11-12 12;173.52
2023-11-12 13;138.72
2023-11-12 14;126.74
2023-11-12 15;119.97
2023-11-12 16;108.14
2023-11-12 17;122.14
2023-11-12 18;156.62
2023-11-12 19;117.16
2023-11-12 20;151.45
2023-11-12 21;124.62
2023-11-12 22;142.88
2023-11-12 23;132.61
2023-11-13 00;147.21
2023-11-13 01;145.45
2023-11-13 02;110.59
2023-11-13 03;60.92
2023-11-13 04;104.58
2023-11-13 05;69.1
2023-11-13 06;93.61
2023-11-13 07;165.7
2023-11-13 08;166.03
2023-11-13 09;158.2
2023-11-13 10;137.7
2023-11-13 11;165.43
2023-11-13 12;153.84
2023-11-13 13;180.1
2023-11-13 14;181.98
2023-11-13 15;148.03
2023-11-13 16;174.28
2023-11-13 17;165.82
2023-11-13 18;178.64
2023-11-13 19;137.08
2023-11-13 20;161.03
2023-11-13 21;189.61
2023-11-13 22;148.93
2023-11-13 23;142.73
2023-11-14 00;173.47
2023-11-14 01;181.59
2023-11-14 02;226.88
2023-11-14 03;218.21
2023-11-14 04;200.6
2023-11-14 05;123.22
2023-11-14 06;206.93
2023-11-14 07;182.77
2023-11-14 08;199.6
2023-11-14 09;215.98
2023-11-14 10;217.3
2023-11-14 11;186.68
2023-11-14 12;181.1
2023-11-14 13;180.68
2023-11-14 14;183.3
2023-11-14 15;183.63
2023-11-14 16;168.57
2023-11-14 17;161.33
2023-11-14 18;166.88
2023-11-14 19;152.08
2023-11-14 20;147.18
2023-11-14 21;137.33
2023-11-14 22;140.9
2023-11-14 23;128.04
2023-11-15 00;143.45
2023-11-15 01;116.41
2023-11-15 02;120.49
2023-11-15 03;137.82
2023-11-15 04;151.53
2023-11-15 05;127.88
2023-11-15 06;245.46
2023-11-15 07;301.05
2023-11-15 08;257.41
2023-11-15 09;234.12
2023-11-15 10;
2023-11-15 11;
2023-11-15 12;370.07
2023-11-15 13;257.52
2023-11-15 14;196.68
2023-11-15 15;199.69
2023-11-15 16;246.22
2023-11-15 17;230.18
2023-11-15 18;230.05
2023-11-15 19;224.16
2023-11-15 20;174.75
2023-11-15 21;128.06
2023-11-15 22;150.46
2023-11-15 23;118.33
2023-11-16 00;156.63
2023-11-16 01;136.3
2023-11-16 02;162.97
2023-11-16 03;202.58
2023-11-16 04;205.77
2023-11-16 05;106.67
2023-11-16 06;116
2023-11-16 07;150.68
2023-11-16 08;220.59
2023-11-16 09;262.29
2023-11-16 10;250.32
2023-11-16 11;236.53
2023-11-16 12;232.02
2023-11-16 13;209.69
2023-11-16 14;219.15
2023-11-16 15;272.82
2023-11-16 16;254.04
2023-11-16 17;216.58
2023-11-16 18;200.86
2023-11-16 19;154.22
2023-11-16 20;156.52
2023-11-16 21;169.18
2023-11-16 22;140.62
2023-11-16 23;144.42
2023-11-17 00;150.39
2023-11-17 01;102.7
2023-11-17 02;129.31
2023-11-17 03;154.17
2023-11-17 04;229.34
2023-11-17 05;156.52
2023-11-17 06;147.52
2023-11-17 07;246.12
2023-11-17 08;266.78
2023-11-17 09;294.22
2023-11-17 10;269.78
2023-11-17 11;229.01
2023-11-17 12;346.69
2023-11-17 13;278.41
2023-11-17 14;190.61
2023-11-17 15;155.75
2023-11-17 16;169.29
2023-11-17 17;159.79
2023-11-17 18;165.15
2023-11-17 19;112.28
2023-11-17 20;143.17
2023-11-17 21;116.54
2023-11-17 22;144.77
2023-11-17 23;135.38
2023-11-18 00;97.45
2023-11-18 01;191.07
2023-11-18 02;182.17
2023-11-18 03;211.57
2023-11-18 04;165.35
2023-11-18 05;104.71
2023-11-18 06;137.07
2023-11-18 07;171.68
2023-11-18 08;187.64
2023-11-18 09;188.14
2023-11-18 10;160.32
2023-11-18 11;132.66
2023-11-18 12;161.36
2023-11-18 13;161.66
2023-11-18 14;139.81
2023-11-18 15;132.39
2023-11-18 16;111.35
2023-11-18 17;93.44
2023-11-18 18;95.17
2023-11-18 19;103.93
2023-11-18 20;113.25
2023-11-18 21;131.43
2023-11-18 22;164.22
2023-11-18 23;121.73
2023-11-19 00;117.32
2023-11-19 01;99.96
2023-11-19 02;169.69
2023-11-19 03;205.58
2023-11-19 04;62.26
2023-11-19 05;98.93
2023-11-19 06;85.83
2023-11-19 07;176.43
2023-11-19 08;272.15
2023-11-19 09;192.86
2023-11-19 10;175.82
2023-11-19 11;189.46
2023-11-19 12;177.22
2023-11-19 13;122.84
2023-11-19 14;95.08
2023-11-19 15;104.44
2023-11-19 16;116.73
2023-11-19 17;109.92
2023-11-19 18;114.59
2023-11-19 19;103.7
2023-11-19 20;114.99
2023-11-19 21;99.56
2023-11-19 22;125.58
2023-11-19 23;120.9
2023-11-20 00;59.87
2023-11-20 01;101.27
2023-11-20 02;103.28
2023-11-20 03;88.55
2023-11-20 04;128.56
2023-11-20 05;118.16
2023-11-20 06;114.7
2023-11-20 07;145.25
2023-11-20 08;137.93
2023-11-20 09;161.18
2023-11-20 10;151.91
2023-11-20 11;172.84
2023-11-20 12;160.13
2023-11-20 13;175.61
2023-11-20 14;111.5
2023-11-20 15;113.85
2023-11-20 16;159.47
2023-11-20 17;193.95
2023-11-20 18;169.32
2023-11-20 19;142.57
2023-11-20 20;140.46
2023-11-20 21;112.38
2023-11-20 22;120.72
2023-11-20 23;117.19
2023-11-21 00;85.37
2023-11-21 01;56.18
2023-11-21 02;73.11
2023-11-21 03;54.7
2023-11-21 04;142.58
2023-11-21 05;142.87
2023-11-21 06;155.18
2023-11-21 07;294.58
2023-11-21 08;375.78
2023-11-21 09;160.51
2023-11-21 10;161.36
2023-11-21 11;167.53
2023-11-21 12;250.87
2023-11-21 13;175.72
2023-11-21 14;125.21
2023-11-21 15;156.66
2023-11-21 16;135.54
2023-11-21 17;121.38
2023-11-21 18;173.88
2023-11-21 19;139.57
2023-11-21 20;202.19
2023-11-21 21;191.06
2023-11-21 22;133.32
2023-11-21 23;117.02
2023-11-22 00;123.83
2023-11-22 01;119.44
2023-11-22 02;104.38
2023-11-22 03;70.28
2023-11-22 04;107.6
2023-11-22 05;133.08
2023-11-22 06;101.53
2023-11-22 07;178.4
2023-11-22 08;137.15
2023-11-22 09;137.98
2023-11-22 10;
2023-11-22 11;
2023-11-22 12;
2023-11-22 13;
2023-11-22 14;
2023-11-22 15;211.23
2023-11-22 16;198.52
2023-11-22 17;187.72
2023-11-22 18;114.62
2023-11-22 19;133.89
2023-11-22 20;77.92
2023-11-22 21;103.32
2023-11-22 22;84.97
2023-11-22 23;130.34
2023-11-23 00;91.89
2023-11-23 01;241.38
2023-11-23 02;88.71
2023-11-23 03;174.15
2023-11-23 04;235.63
2023-11-23 05;119.7
2023-11-23 06;170.39
2023-11-23 07;344.26
2023-11-23 08;355.82
2023-11-23 09;287.52
2023-11-23 10;283.07
2023-11-23 11;286.76
2023-11-23 12;271.54
2023-11-23 13;247.42
2023-11-23 14;291.42
2023-11-23 15;239.31
2023-11-23 16;218.72
2023-11-23 17;242.56
2023-11-23 18;255.22
2023-11-23 19;135.73
2023-11-23 20;125.65
2023-11-23 21;172.5
2023-11-23 22;141.94
2023-11-23 23;148.82
2023-11-24 00;133.57
2023-11-24 01;140.84
2023-11-24 02;155.63
2023-11-24 03;153.77
2023-11-24 04;141.04
2023-11-24 05;166.52
2023-11-24 06;208.02
2023-11-24 07;263.71
2023-11-24 08;362.97
2023-11-24 09;300.47
2023-11-24 10;280.86
2023-11-24 11;303.03
2023-11-24 12;239.68
2023-11-24 13;294.98
2023-11-24 14;293.81
2023-11-24 15;262.48
2023-11-24 16;186.99
2023-11-24 17;192.85
2023-11-24 18;210.35
2023-11-24 19;205.57
2023-11-24 20;126.97
2023-11-24 21;160.5
2023-11-24 22;197.08
2023-11-24 23;96.68
2023-11-25 00;151.91
2023-11-25 01;105.72
2023-11-25 02;105.79
2023-11-25 03;167.96
2023-11-25 04;153.27
2023-11-25 05;140.68
2023-11-25 06;142.8
2023-11-25 07;144.76
2023-11-25 08;190.61
2023-11-25 09;199.44
2023-11-25 10;188.19
2023-11-25 11;194.16
2023-11-25 12;193.62
2023-11-25 13;162.8
2023-11-25 14;154.89
2023-11-25 15;143.33
2023-11-25 16;120.63
2023-11-25 17;107.89
2023-11-25 18;119.65
2023-11-25 19;107.58
2023-11-25 20;119.22
2023-11-25 21;134.49
2023-11-25 22;153.74
2023-11-25 23;165.19
2023-11-26 00;152.45
2023-11-26 01;136.28
2023-11-26 02;156.07
2023-11-26 03;80.32
2023-11-26 04;112.9
2023-11-26 05;174.32
2023-11-26 06;227.27
2023-11-26 07;235.02
2023-11-26 08;182.85
2023-11-26 09;200.48
2023-11-26 10;196.38
2023-11-26 11;184.43
2023-11-26 12;181.78
2023-11-26 13;160.42
2023-11-26 14;138.33
2023-11-26 15;100.62
2023-11-26 16;101.98
2023-11-26 17;95.4
2023-11-26 18;121.03
2023-11-26 19;120.51
2023-11-26 20;63.67
2023-11-26 21;112.86
2023-11-26 22;157.02
2023-11-26 23;138.28
2023-11-27 00;106.83
2023-11-27 01;107.81
2023-11-27 02;93.09
2023-11-27 03;47.25
2023-11-27 04;104.68
2023-11-27 05;91.57
2023-11-27 06;150.76
2023-11-27 07;226.72
2023-11-27 08;301.9
2023-11-27 09;208.38
2023-11-27 10;199.78
2023-11-27 11;255.35
2023-11-27 12;219.35
2023-11-27 13;212.03
2023-11-27 14;224.81
2023-11-27 15;228.69
2023-11-27 16;167.9
2023-11-27 17;166.97
2023-11-27 18;172.13
2023-11-27 19;163.32
2023-11-27 20;165.62
2023-11-27 21;147.13
2023-11-27 22;113.83
2023-11-27 23;85.63
2023-11-28 00;113.05
2023-11-28 01;79.41
2023-11-28 02;111.74
2023-11-28 03;74.34
2023-11-28 04;148.38
2023-11-28 05;149.22
2023-11-28 06;113.33
2023-11-28 07;211.62
2023-11-28 08;212.29
2023-11-28 09;229.86
2023-11-28 10;275.21
2023-11-28 11;301.48
2023-11-28 12;339.98
2023-11-28 13;327.53
2023-11-28 14;214.98
2023-11-28 15;220.01
2023-11-28 16;148.42
2023-11-28 17;148.13
2023-11-28 18;165.21
2023-11-28 19;144.6
2023-11-28 20;134.55
2023-11-28 21;98.32
2023-11-28 22;100.41
2023-11-28 23;134.18
2023-11-29 00;122.46
2023-11-29 01;137.21
2023-11-29 02;134.48
2023-11-29 03;113.06
2023-11-29 04;152.63
2023-11-29 05;94.53
2023-11-29 06;113.16
2023-11-29 07;128.19
2023-11-29 08;191.9
2023-11-29 09;203.48
2023-11-29 10;
2023-11-29 11;
2023-11-29 12;
2023-11-29 13;288.92
2023-11-29 14;276.51
2023-11-29 15;249.43
2023-11-29 16;203.83
2023-11-29 17;108.61
2023-11-29 18;119.07
2023-11-29 19;124.34
2023-11-29 20;135.7
2023-11-29 21;104.77
2023-11-29 22;121.53
2023-11-29 23;76.25
2023-11-30 00;95.68
2023-11-30 01;82.55
2023-11-30 02;103.22
2023-11-30 03;83.29
2023-11-30 04;118.18
2023-11-30 05;86.34
2023-11-30 06;127.55
2023-11-30 07;143.05
2023-11-30 08;155.34
2023-11-30 09;195.12
2023-11-30 10;259.54
2023-11-30 11;313.17
2023-11-30 12;248.67
2023-11-30 13;217.57
2023-11-30 14;226.81
2023-11-30 15;190.14
2023-11-30 16;174.66
2023-11-30 17;176.16
2023-11-30 18;118.12
2023-11-30 19;105.03
2023-11-30 20;125.56
2023-11-30 21;130.96
2023-11-30 22;110.97
2023-11-30 23;103.13
2023-12-01 00;123.7
2023-12-01 01;154.7
2023-12-01 02;87.53
2023-12-01 03;70.84
2023-12-01 04;148.81
2023-12-01 05;161.03
2023-12-01 06;73.19
2023-12-01 07;160.79
2023-12-01 08;172.52
2023-12-01 09;284.97
2023-12-01 10;291.97
2023-12-01 11;261.21
2023-12-01 12;328.78
2023-12-01 13;277.94
2023-12-01 14;270.2
2023-12-01 15;178.06
2023-12-01 16;120.96
2023-12-01 17;138.78
2023-12-01 18;108.12
2023-12-01 19;114.97
2023-12-01 20;147.12
2023-12-01 21;108.82
2023-12-01 22;71.48
2023-12-01 23;84.68
2023-12-02 00;116.13
2023-12-02 01;125.49
2023-12-02 02;82.83
2023-12-02 03;107.19
2023-12-02 04;48.73
2023-12-02 05;119.13
2023-12-02 06;99.46
2023-12-02 07;205.55
2023-12-02 08;173.9
2023-12-02 09;165.14
2023-12-02 10;187.03
2023-12-02 11;213.89
2023-12-02 12;167.97
2023-12-02 13;206.81
2023-12-02 14;171.5
2023-12-02 15;129.22
2023-12-02 16;110.39
2023-12-02 17;104.37
2023-12-02 18;115.29
2023-12-02 19;126.04
2023-12-02 20;120.53
2023-12-02 21;107.2
2023-12-02 22;119.03
2023-12-02 23;108.14
2023-12-03 00;102.58
2023-12-03 01;114.69
2023-12-03 02;144.84
2023-12-03 03;117.17
2023-12-03 04;62.16
2023-12-03 05;107.24
2023-12-03 06;115.87
2023-12-03 07;119.84
2023-12-03 08;136.5
2023-12-03 09;148.43
2023-12-03 10;134.33
2023-12-03 11;125.09
2023-12-03 12;126.03
2023-12-03 13;163.32
2023-12-03 14;160.11
2023-12-03 15;108.47
2023-12-03 16;113.45
2023-12-03 17;107.52
2023-12-03 18;97.86
2023-12-03 19;103.37
2023-12-03 20;101.03
2023-12-03 21;126.65
2023-12-03 22;104.39
2023-12-03 23;109.43
2023-12-04 00;118.78
2023-12-04 01;126.41
2023-12-04 02;82.8
2023-12-04 03;110.88
2023-12-04 04;61.14
2023-12-04 05;98.78
2023-12-04 06;107.67
2023-12-04 07;162.07
2023-12-04 08;158.27
2023-12-04 09;150.06
2023-12-04 10;164.48
2023-12-04 11;205.33
2023-12-04 12;158.52
2023-12-04 13;154.94
2023-12-04 14;115.21
2023-12-04 15;152.98
2023-12-04 16;138.36
2023-12-04 17;124.08
2023-12-04 18;134.95
2023-12-04 19;117.67
2023-12-04 20;88.27
2023-12-04 21;116.82
2023-12-04 22;119.62
2023-12-04 23;95.34
2023-12-05 00;76.72
2023-12-05 01;59.68
2023-12-05 02;94.78
2023-12-05 03;69.63
2023-12-05 04;80.12
2023-12-05 05;65.84
2023-12-05 06;112.13
2023-12-05 07;224.65
2023-12-05 08;217.08
2023-12-05 09;173.36
2023-12-05 10;204.43
2023-12-05 11;205.67
2023-12-05 12;167.2
2023-12-05 13;154.95
2023-12-05 14;139.76
2023-12-05 15;141.72
2023-12-05 16;148.83
2023-12-05 17;137.53
2023-12-05 18;98.58
2023-12-05 19;101.03
2023-12-05 20;109.52
2023-12-05 21;101.62
2023-12-05 22;102.42
2023-12-05 23;68.81
2023-12-06 00;127
2023-12-06 01;68.97
2023-12-06 02;93.95
2023-12-06 03;57.4
2023-12-06 04;97.27
2023-12-06 05;115.58
2023-12-06 06;212.57
2023-12-06 07;278.48
2023-12-06 08;227.17
2023-12-06 09;198.86
2023-12-06 10;
2023-12-06 11;
2023-12-06 12;198.28
2023-12-06 13;261.66
2023-12-06 14;189.36
2023-12-06 15;202.23
2023-12-06 16;173.55
2023-12-06 17;165.97
2023-12-06 18;143.91
2023-12-06 19;138.31
2023-12-06 20;116.21
2023-12-06 21;100.93
2023-12-06 22;120.38
2023-12-06 23;81.9
2023-12-07 00;103.67
2023-12-07 01;107.8
2023-12-07 02;190.41
2023-12-07 03;68.3
2023-12-07 04;78.68
2023-12-07 05;100.28
2023-12-07 06;128.15
2023-12-07 07;154.61
2023-12-07 08;203.48
2023-12-07 09;201.76
2023-12-07 10;207.88
2023-12-07 11;211.26
2023-12-07 12;227.76
2023-12-07 13;176.78
2023-12-07 14;165.17
2023-12-07 15;138.62
2023-12-07 16;197.9
2023-12-07 17;130.51
2023-12-07 18;129.28
2023-12-07 19;116.53
2023-12-07 20;130.78
2023-12-07 21;141.41
2023-12-07 22;119.83
2023-12-07 23;156.58
2023-12-08 00;96.37
2023-12-08 01;69.77
2023-12-08 02;131.34
2023-12-08 03;96.99
2023-12-08 04;78.56
2023-12-08 05;150.1
2023-12-08 06;217.86
2023-12-08 07;248.02
2023-12-08 08;190.77
2023-12-08 09;134.44
2023-12-08 10;127.56
2023-12-08 11;138.05
2023-12-08 12;168.5
2023-12-08 13;134.07
2023-12-08 14;125.65
2023-12-08 15;116.6
2023-12-08 16;96.99
2023-12-08 17;134.9
2023-12-08 18;110.02
2023-12-08 19;95.97
2023-12-08 20;110.66
2023-12-08 21;95.17
2023-12-08 22;112.83
2023-12-08 23;79.62
2023-12-09 00;75.66
2023-12-09 01;63.52
2023-12-09 02;84.22
2023-12-09 03;56.67
2023-12-09 04;93.96
2023-12-09 05;90.32
2023-12-09 06;120.33
2023-12-09 07;231.79
2023-12-09 08;173.44
2023-12-09 09;135.11
2023-12-09 10;133.12
2023-12-09 11;140.43
2023-12-09 12;144.05
2023-12-09 13;183.34
2023-12-09 14;220.24
2023-12-09 15;122.13
2023-12-09 16;93.39
2023-12-09 17;88.07
2023-12-09 18;102.95
2023-12-09 19;106.84
2023-12-09 20;83.68
2023-12-09 21;106.5
2023-12-09 22;101.57
2023-12-09 23;71.78
2023-12-10 00;69.14
2023-12-10 01;124.61
2023-12-10 02;100.74
2023-12-10 03;51.73
2023-12-10 04;38.12
2023-12-10 05;62.47
2023-12-10 06;74.78
2023-12-10 07;112.11
2023-12-10 08;97.52
2023-12-10 09;85.94
2023-12-10 10;89.2
2023-12-10 11;100.53
2023-12-10 12;110.63
2023-12-10 13;106.89
2023-12-10 14;77.1
2023-12-10 15;67.7
2023-12-10 16;69.51
2023-12-10 17;88.31
2023-12-10 18;69.41
2023-12-10 19;70.35
2023-12-10 20;96.64
2023-12-10 21;99.39
2023-12-10 22;57.91
2023-12-10 23;90.02
2023-12-11 00;74.61
2023-12-11 01;70.83
2023-12-11 02;95.58
2023-12-11 03;55.85
2023-12-11 04;82.22
2023-12-11 05;127.93
2023-12-11 06;140.52
2023-12-11 07;192.53
2023-12-11 08;220.54
2023-12-11 09;183.63
2023-12-11 10;143.8
2023-12-11 11;161.82
2023-12-11 12;154.26
2023-12-11 13;161.47
2023-12-11 14;246.16
2023-12-11 15;196.14
2023-12-11 16;134.18
2023-12-11 17;148.33
2023-12-11 18;134.93
2023-12-11 19;119.57
2023-12-11 20;118.93
2023-12-11 21;97.21
2023-12-11 22;80.41
2023-12-11 23;108.38
2023-12-12 00;110.83
2023-12-12 01;105
2023-12-12 02;100.58
2023-12-12 03;105.58
2023-12-12 04;128.95
2023-12-12 05;112.01
2023-12-12 06;117.75
2023-12-12 07;159.93
2023-12-12 08;145.78
2023-12-12 09;149.57
2023-12-12 10;
2023-12-12 11;180.92
2023-12-12 12;185.47
2023-12-12 13;210.26
2023-12-12 14;229.12
2023-12-12 15;217.98
2023-12-12 16;164.01
2023-12-12 17;151.31
2023-12-12 18;138.74
2023-12-12 19;149.12
2023-12-12 20;101.35
2023-12-12 21;98.96
2023-12-12 22;85.22
2023-12-12 23;129.98
2023-12-13 00;116.08
2023-12-13 01;145.72
2023-12-13 02;101.69
2023-12-13 03;109.42
2023-12-13 04;185.72
2023-12-13 05;167.63
2023-12-13 06;100.63
2023-12-13 07;173.83
2023-12-13 08;204.52
2023-12-13 09;197.34
2023-12-13 10;245.39
2023-12-13 11;242.28
2023-12-13 12;208.02
2023-12-13 13;189.78
2023-12-13 14;207.98
2023-12-13 15;178.09
2023-12-13 16;146.83
2023-12-13 17;157.59
2023-12-13 18;147.53
2023-12-13 19;136.33
2023-12-13 20;97.38
2023-12-13 21;119.83
2023-12-13 22;105.2
2023-12-13 23;124.97
2023-12-14 00;106.99
2023-12-14 01;108.82
2023-12-14 02;90.8
2023-12-14 03;102.77
2023-12-14 04;135.54
2023-12-14 05;108.46
2023-12-14 06;110.88
2023-12-14 07;127.92
2023-12-14 08;176.77
2023-12-14 09;172.3
2023-12-14 10;197.93
2023-12-14 11;202.78
2023-12-14 12;191.17
2023-12-14 13;218.27
2023-12-14 14;181.01
2023-12-14 15;151.21
2023-12-14 16;165.52
2023-12-14 17;140.74
2023-12-14 18;103.82
2023-12-14 19;92.36
2023-12-14 20;84.83
2023-12-14 21;108.03
2023-12-14 22;115.01
2023-12-14 23;99.7
2023-12-15 00;131.22
2023-12-15 01;89.78
2023-12-15 02;89.15
2023-12-15 03;63.4
2023-12-15 04;100.08
2023-12-15 05;96.85
2023-12-15 06;96.78
2023-12-15 07;127.11
2023-12-15 08;166.12
2023-12-15 09;194.17
2023-12-15 10;164.31
2023-12-15 11;227.32
2023-12-15 12;204.04
2023-12-15 13;218.26
2023-12-15 14;249.12
2023-12-15 15;195.91
2023-12-15 16;192.13
2023-12-15 17;147.55
2023-12-15 18;151.74
2023-12-15 19;133.78
2023-12-15 20;150.09
2023-12-15 21;107.45
2023-12-15 22;110.22
2023-12-15 23;118.53
2023-12-16 00;109.33
2023-12-16 01;103.51
2023-12-16 02;118.21
2023-12-16 03;113.73
2023-12-16 04;112.41
2023-12-16 05;113.84
2023-12-16 06;136.45
2023-12-16 07;119.58
2023-12-16 08;131.83
2023-12-16 09;149.58
2023-12-16 10;153.17
2023-12-16 11;155.57
2023-12-16 12;195.49
2023-12-16 13;244.57
2023-12-16 14;189.02
2023-12-16 15;138.59
2023-12-16 16;117.92
2023-12-16 17;132.79
2023-12-16 18;134.16
2023-12-16 19;129.91
2023-12-16 20;124.22
2023-12-16 21;115.4
2023-12-16 22;83.65
2023-12-16 23;74.21
2023-12-17 00;81.72
2023-12-17 01;115.37
2023-12-17 02;105.3
2023-12-17 03;123.85
2023-12-17 04;127.38
2023-12-17 05;110.33
2023-12-17 06;96.83
2023-12-17 07;129.4
2023-12-17 08;147.66
2023-12-17 09;122.92
2023-12-17 10;123.73
2023-12-17 11;121.96
2023-12-17 12;115.53
2023-12-17 13;98.12
2023-12-17 14;124.97
2023-12-17 15;90.26
2023-12-17 16;67.84
2023-12-17 17;60.48
2023-12-17 18;73.67
2023-12-17 19;57.41
2023-12-17 20;67.36
2023-12-17 21;73.1
2023-12-17 22;86.01
2023-12-17 23;59.71
2023-12-18 00;66.92
2023-12-18 01;55.56
2023-12-18 02;54.07
2023-12-18 03;64.88
2023-12-18 04;84.66
2023-12-18 05;82.14
2023-12-18 06;81.6
2023-12-18 07;75.06
2023-12-18 08;109.94
2023-12-18 09;107.12
2023-12-18 10;143.31
2023-12-18 11;131.97
2023-12-18 12;123.38
2023-12-18 13;201.11
2023-12-18 14;148.18
2023-12-18 15;120.3
2023-12-18 16;135.82
2023-12-18 17;93.6
2023-12-18 18;112.32
2023-12-18 19;88.47
2023-12-18 20;83.12
2023-12-18 21;135.72
2023-12-18 22;124.02
2023-12-18 23;125.84
2023-12-19 00;144.97
2023-12-19 01;160.72
2023-12-19 02;149.02
2023-12-19 03;123.02
2023-12-19 04;113.82
2023-12-19 05;115.23
2023-12-19 06;99.73
2023-12-19 07;86.02
2023-12-19 08;93.17
2023-12-19 09;97.87
2023-12-19 10;
2023-12-19 11;90.95
2023-12-19 12;174.18
2023-12-19 13;134.06
2023-12-19 14;143.15
2023-12-19 15;111.75
2023-12-19 16;160.16
2023-12-19 17;126.94
2023-12-19 18;98.4
2023-12-19 19;121.88
2023-12-19 20;110.82
