PERIODO;PM10
2023-10-01 06;94.21
2023-10-01 07;98.69
2023-10-01 08;129.91
2023-10-01 09;167.84
2023-10-01 10;159.16
2023-10-01 11;163.18
2023-10-01 12;142.45
2023-10-01 13;134.02
2023-10-01 14;128.44
2023-10-01 15;128.12
2023-10-01 16;122.15
2023-10-01 17;106.74
2023-10-01 18;104.81
2023-10-01 19;114.89
2023-10-01 20;110.12
2023-10-01 21;121.13
2023-10-01 22;118.11
2023-10-01 23;117.67
2023-10-02 00;114.82
2023-10-02 01;111.54
2023-10-02 02;85.28
2023-10-02 03;35.89
2023-10-02 04;39.03
2023-10-02 05;31.75
2023-10-02 06;49.23
2023-10-02 07;79.5
2023-10-02 08;116.06
2023-10-02 09;163.04
2023-10-02 10;191.05
2023-10-02 11;167.28
2023-10-02 12;158.15
2023-10-02 13;119.24
2023-10-02 14;122.03
2023-10-02 15;132.15
2023-10-02 16;119.92
2023-10-02 17;98.74
2023-10-02 18;120.75
2023-10-02 19;120.41
2023-10-02 20;104.28
2023-10-02 21;123.39
2023-10-02 22;131.17
2023-10-02 23;128.63
2023-10-03 00;103
2023-10-03 01;89.82
2023-10-03 02;46.23
2023-10-03 03;24.75
2023-10-03 04;30.83
2023-10-03 05;28.65
2023-10-03 06;36.62
2023-10-03 07;46.23
2023-10-03 08;116.44
2023-10-03 09;182.6
2023-10-03 10;183.26
2023-10-03 11;151.05
2023-10-03 12;151.26
2023-10-03 13;158.52
2023-10-03 14;143.69
2023-10-03 15;103.97
2023-10-03 16;112.99
2023-10-03 17;115.54
2023-10-03 18;123.92
2023-10-03 19;119.99
2023-10-03 20;102.88
2023-10-03 21;122.95
2023-10-03 22;95.19
2023-10-03 23;97.37
2023-10-04 00;112.38
2023-10-04 01;97.36
2023-10-04 02;84.62
2023-10-04 03;60.44
2023-10-04 04;116.4
2023-10-04 05;116.92
2023-10-04 06;116.59
2023-10-04 07;159.67
2023-10-04 08;149.07
2023-10-04 09;152.62
2023-10-04 10;
2023-10-04 11;
2023-10-04 12;
2023-10-04 13;248.5
2023-10-04 14;250.97
2023-10-04 15;213.44
2023-10-04 16;210.83
2023-10-04 17;197.85
2023-10-04 18;148.61
2023-10-04 19;135.72
2023-10-04 20;111.62
2023-10-04 21;102.99
2023-10-04 22;117.76
2023-10-04 23;157.72
2023-10-05 00;161.83
2023-10-05 01;106.28
2023-10-05 02;117.7
2023-10-05 03;98.05
2023-10-05 04;71.39
2023-10-05 05;101.45
2023-10-05 06;84.24
2023-10-05 07;105.07
2023-10-05 08;242.04
2023-10-05 09;253.98
2023-10-05 10;223.32
2023-10-05 11;183.67
2023-10-05 12;242.41
2023-10-05 13;234.09
2023-10-05 14;124
2023-10-05 15;154.56
2023-10-05 16;163.22
2023-10-05 17;160.24
2023-10-05 18;135.22
2023-10-05 19;125.19
2023-10-05 20;149.38
2023-10-05 21;99.79
2023-10-05 22;83.16
2023-10-05 23;120.42
2023-10-06 00;143.12
2023-10-06 01;158.43
2023-10-06 02;117.28
2023-10-06 03;63.06
2023-10-06 04;68.75
2023-10-06 05;102.83
2023-10-06 06;115.42
2023-10-06 07;128
2023-10-06 08;138.41
2023-10-06 09;183.82
2023-10-06 10;188.22
2023-10-06 11;164.34
2023-10-06 12;181.97
2023-10-06 13;247.15
2023-10-06 14;196.32
2023-10-06 15;131.78
2023-10-06 16;135.09
2023-10-06 17;88.02
