Nro;PERIODO;PM10
975;2023-08-11 14;26.61
976;2023-08-11 15;21.48
977;2023-08-11 16;32.65
978;2023-08-11 17;27.36
979;2023-08-11 18;20.98
980;2023-08-11 19;25.45
981;2023-08-11 20;35.92
982;2023-08-11 21;41.28
983;2023-08-11 22;32.93
984;2023-08-11 23;33.37
985;2023-08-12 00;33.94
986;2023-08-12 01;34.66
987;2023-08-12 02;31.49
988;2023-08-12 03;26.04
989;2023-08-12 04;20.92
990;2023-08-12 05;19.13
991;2023-08-12 06;18.35
992;2023-08-12 07;15.77
993;2023-08-12 08;18.47
994;2023-08-12 09;19.44
995;2023-08-12 10;19.28
996;2023-08-12 11;21.17
997;2023-08-12 12;18.53
998;2023-08-12 13;21.67
999;2023-08-12 14;21.29
1000;2023-08-12 15;27.56
1001;2023-08-12 16;29.52
1002;2023-08-12 17;33.47
1003;2023-08-12 18;38.55
1004;2023-08-12 19;40.4
1005;2023-08-12 20;49.31
1006;2023-08-12 21;32.81
1007;2023-08-12 22;25.49
1008;2023-08-12 23;21.6
1009;2023-08-13 00;26.22
1010;2023-08-13 01;32.76
1011;2023-08-13 02;29.41
1012;2023-08-13 03;39.65
1013;2023-08-13 04;50.26
1014;2023-08-13 05;27.49
1015;2023-08-13 06;25.42
1016;2023-08-13 07;25.65
1017;2023-08-13 08;26.98
1018;2023-08-13 09;27.71
1019;2023-08-13 10;25.3
1020;2023-08-13 11;28.81
1021;2023-08-13 12;25.65
1022;2023-08-13 13;30.11
1023;2023-08-13 14;23.21
1024;2023-08-13 15;15.05
1025;2023-08-13 16;20.72
1026;2023-08-13 17;30.2
1027;2023-08-13 18;36.79
1028;2023-08-13 19;33.47
1029;2023-08-13 20;31.16
1030;2023-08-13 21;23.72
1031;2023-08-13 22;20.57
1032;2023-08-13 23;19.53
1033;2023-08-14 00;24.99
1034;2023-08-14 01;25.27
1035;2023-08-14 02;31.8
1036;2023-08-14 03;33.31
1037;2023-08-14 04;34.69
1038;2023-08-14 05;34.87
1039;2023-08-14 06;30.23
1040;2023-08-14 07;27.32
1041;2023-08-14 08;28.95
1042;2023-08-14 09;27.45
1043;2023-08-14 10;31.57
1044;2023-08-14 11;43.49
1045;2023-08-14 12;48.17
1046;2023-08-14 13;50.63
1047;2023-08-14 14;57.72
1048;2023-08-14 15;61.07
1049;2023-08-14 16;58.13
1050;2023-08-14 17;52.12
1051;2023-08-14 18;40.73
1052;2023-08-14 19;30.95
1053;2023-08-14 20;25.83
1054;2023-08-14 21;32.52
1055;2023-08-14 22;31.59
1056;2023-08-14 23;27.07
1057;2023-08-15 00;30.83
1058;2023-08-15 01;38.73
1059;2023-08-15 02;45.78
1060;2023-08-15 03;46.32
1061;2023-08-15 04;48.25
1062;2023-08-15 05;47.52
1063;2023-08-15 06;52.4
1064;2023-08-15 07;41.86
1065;2023-08-15 08;34.81
1066;2023-08-15 09;27.82
1067;2023-08-15 10;30.78
1068;2023-08-15 11;29.04
1069;2023-08-15 12;25.68
1070;2023-08-15 13;28.97
1071;2023-08-15 14;32.57
1072;2023-08-15 15;28.78
1073;2023-08-15 16;31.1
1074;2023-08-15 17;26.47
1075;2023-08-15 18;32.88
1076;2023-08-15 19;40.22
1077;2023-08-15 20;55.03
1078;2023-08-15 21;54.56
1079;2023-08-15 22;38.4
1080;2023-08-15 23;27.1
1081;2023-08-16 00;29.72
1082;2023-08-16 01;34.57
1083;2023-08-16 02;34.08
1084;2023-08-16 03;33.04
1085;2023-08-16 04;31.47
1086;2023-08-16 05;28.95
1087;2023-08-16 06;33.5
1088;2023-08-16 07;30.88
1089;2023-08-16 08;28.27
1090;2023-08-16 09;18.76
1091;2023-08-16 10;18.8
1092;2023-08-16 11;16.65
1093;2023-08-16 12;14.62
1094;2023-08-16 13;14.76
1095;2023-08-16 14;16.68
1096;2023-08-16 15;24.49
1097;2023-08-16 16;37.83
1098;2023-08-16 17;35.46
1099;2023-08-16 18;35.08
1100;2023-08-16 19;34.96
1101;2023-08-16 20;37
1102;2023-08-16 21;37.36
1103;2023-08-16 22;24.36
1104;2023-08-16 23;24.2
1105;2023-08-17 00;32.15
1106;2023-08-17 01;36.93
1107;2023-08-17 02;33.16
1108;2023-08-17 03;24.72
1109;2023-08-17 04;18.85
1110;2023-08-17 05;14.67
1111;2023-08-17 06;14.3
1112;2023-08-17 07;11.65
1113;2023-08-17 08;13.18
1114;2023-08-17 09;12.59
1115;2023-08-17 10;11
1116;2023-08-17 11;13.5
1117;2023-08-17 12;15.51
1118;2023-08-17 13;17.52
1119;2023-08-17 14;20.12
1120;2023-08-17 15;24.92
1121;2023-08-17 16;33.7
1122;2023-08-17 17;32.26
1123;2023-08-17 18;35.65
1124;2023-08-17 19;37
1125;2023-08-17 20;34.15
1126;2023-08-17 21;25.94
1127;2023-08-17 22;25.41
1128;2023-08-17 23;20.73
1129;2023-08-18 00;16.81
1130;2023-08-18 01;21.6
1131;2023-08-18 02;22.41
1132;2023-08-18 03;30.72
1133;2023-08-18 04;28.07
1134;2023-08-18 05;28.19
1135;2023-08-18 06;25.7
1136;2023-08-18 07;22.64
1137;2023-08-18 08;25.52
1138;2023-08-18 09;25.22
1139;2023-08-18 10;28.19
1140;2023-08-18 11;28.66
1141;2023-08-18 12;29.79
1142;2023-08-18 13;28.41
1143;2023-08-18 14;26.21
1144;2023-08-18 15;30.01
1145;2023-08-18 16;39.86
1146;2023-08-18 17;37.79
1147;2023-08-18 18;32.98
1148;2023-08-18 19;34.84
1149;2023-08-18 20;29.85
1150;2023-08-18 21;30.41
1151;2023-08-18 22;38.96
1152;2023-08-18 23;35.8
1153;2023-08-19 00;33.06
1154;2023-08-19 01;28.06
1155;2023-08-19 02;35.12
1156;2023-08-19 03;41.19
1157;2023-08-19 04;32.34
1158;2023-08-19 05;30.06
1159;2023-08-19 06;35.2
1160;2023-08-19 07;27.85
1161;2023-08-19 08;26.2
1162;2023-08-19 09;34.04
1163;2023-08-19 10;31.89
1164;2023-08-19 11;32.06
1165;2023-08-19 12;30.76
1166;2023-08-19 13;28.98
1167;2023-08-19 14;40.65
1168;2023-08-19 15;44.17
1169;2023-08-19 16;43.66
1170;2023-08-19 17;49.03
1171;2023-08-19 18;40.02
1172;2023-08-19 19;31.12
1173;2023-08-19 20;29.34
1174;2023-08-19 21;28.74
1175;2023-08-19 22;24.67
1176;2023-08-19 23;24.79
1177;2023-08-20 00;22.71
1178;2023-08-20 01;28.13
1179;2023-08-20 02;34.99
1180;2023-08-20 03;39.15
1181;2023-08-20 04;42.62
1182;2023-08-20 05;43.68
1183;2023-08-20 06;46.99
1184;2023-08-20 07;43.97
1185;2023-08-20 08;45.74
1186;2023-08-20 09;50.95
1187;2023-08-20 10;40.62
1188;2023-08-20 11;31.77
1189;2023-08-20 12;37.56
1190;2023-08-20 13;46.23
1191;2023-08-20 14;64.44
1192;2023-08-20 15;69.78
1193;2023-08-20 16;42.92
1194;2023-08-20 17;35.88
1195;2023-08-20 18;33.25
1196;2023-08-20 19;32.79
1197;2023-08-20 20;29.89
1198;2023-08-20 21;30.06
1199;2023-08-20 22;27.14
1200;2023-08-20 23;26.52
1201;2023-08-21 00;32.09
1202;2023-08-21 01;34.36
1203;2023-08-21 02;37.36
1204;2023-08-21 03;40.8
1205;2023-08-21 04;37.93
1206;2023-08-21 05;37.75
1207;2023-08-21 06;33.08
1208;2023-08-21 07;29.63
1209;2023-08-21 08;32.36
1210;2023-08-21 09;43.16
1211;2023-08-21 10;60.91
1212;2023-08-21 11;71.75
1213;2023-08-21 12;87.5
1214;2023-08-21 13;129.8
1215;2023-08-21 14;85.5
1216;2023-08-21 15;71.17
1217;2023-08-21 16;54.49
1218;2023-08-21 17;45.25
1219;2023-08-21 18;36.01
1220;2023-08-21 19;37.02
1221;2023-08-21 20;37.93
1222;2023-08-21 21;36.48
1223;2023-08-21 22;35.41
1224;2023-08-21 23;28.61
1225;2023-08-22 00;27.17
1226;2023-08-22 01;35.57
1227;2023-08-22 02;40.81
1228;2023-08-22 03;40.63
1229;2023-08-22 04;48.23
1230;2023-08-22 05;58.14
1231;2023-08-22 06;59.07
1232;2023-08-22 07;64.45
1233;2023-08-22 08;61.96
1234;2023-08-22 09;59.54
1235;2023-08-22 10;51.23
1236;2023-08-22 11;39
1237;2023-08-22 12;28.64
1238;2023-08-22 13;32.17
1239;2023-08-22 14;33.85
1240;2023-08-22 15;32.3
1241;2023-08-22 16;33.39
1242;2023-08-22 17;41.48
1243;2023-08-22 18;44.79
1244;2023-08-22 19;32.18
1245;2023-08-22 20;30.73
1246;2023-08-22 21;33.23
1247;2023-08-22 22;30.06
1248;2023-08-22 23;31.62
1249;2023-08-23 00;38.45
1250;2023-08-23 01;33.89
1251;2023-08-23 02;25.54
1252;2023-08-23 03;25.34
1253;2023-08-23 04;21.59
1254;2023-08-23 05;16.55
1255;2023-08-23 06;11.26
1256;2023-08-23 07;12.46
1257;2023-08-23 08;6.76
1258;2023-08-23 09;5.54
1259;2023-08-23 10;7.49
1260;2023-08-23 11;8.81
1261;2023-08-23 12;10.82
1262;2023-08-23 13;16.55
1263;2023-08-23 14;17.68
1264;2023-08-23 15;17.72
1265;2023-08-23 16;18.2
1266;2023-08-23 17;27.2
1267;2023-08-23 18;28.28
1268;2023-08-23 19;25.89
1269;2023-08-23 20;29.78
1270;2023-08-23 21;17.38
1271;2023-08-23 22;18.84
1272;2023-08-23 23;18.18
1273;2023-08-24 00;19.93
1274;2023-08-24 01;23.72
1275;2023-08-24 02;21.61
1276;2023-08-24 03;20.33
1277;2023-08-24 04;23.62
1278;2023-08-24 05;20.79
1279;2023-08-24 06;20.31
1280;2023-08-24 07;19.01
1281;2023-08-24 08;19.61
1282;2023-08-24 09;27.49
1283;2023-08-24 10;31.95
1284;2023-08-24 11;32.72
1285;2023-08-24 12;37.42
1286;2023-08-24 13;43.23
1287;2023-08-24 14;51.53
1288;2023-08-24 15;52.09
1289;2023-08-24 16;53.46
1290;2023-08-24 17;50.04
1291;2023-08-24 18;29.84
1292;2023-08-24 19;21.2
1293;2023-08-24 20;19.28
1294;2023-08-24 21;18.83
1295;2023-08-24 22;26.89
1296;2023-08-24 23;27.6
1297;2023-08-25 00;35.59
1298;2023-08-25 01;36.8
1299;2023-08-25 02;34.08
1300;2023-08-25 03;39.05
1301;2023-08-25 04;42.94
1302;2023-08-25 05;39.77
1303;2023-08-25 06;37.21
1304;2023-08-25 07;37.69
1305;2023-08-25 08;37.22
1306;2023-08-25 09;31.3
1307;2023-08-25 10;38.75
1308;2023-08-25 11;46.31
1309;2023-08-25 12;48.71
1310;2023-08-25 13;42.42
1311;2023-08-25 14;40.36
1312;2023-08-25 15;36.38
1313;2023-08-25 16;39.25
1314;2023-08-25 17;36.99
1315;2023-08-25 18;31.9
1316;2023-08-25 19;25.11
1317;2023-08-25 20;21.24
1318;2023-08-25 21;19.11
1319;2023-08-25 22;19.52
1320;2023-08-25 23;18.44
1321;2023-08-26 00;24.37
1322;2023-08-26 01;38.82
1323;2023-08-26 02;41.14
1324;2023-08-26 03;39.14
1325;2023-08-26 04;38.5
1326;2023-08-26 05;39.22
1327;2023-08-26 06;30.9
1328;2023-08-26 07;28.77
1329;2023-08-26 08;30.29
1330;2023-08-26 09;27.66
1331;2023-08-26 10;17.65
1332;2023-08-26 11;15.08
1333;2023-08-26 12;16.29
1334;2023-08-26 13;19.78
1335;2023-08-26 14;22.64
1336;2023-08-26 15;26.15
1337;2023-08-26 16;34.28
1338;2023-08-26 17;33.07
1339;2023-08-26 18;29.64
1340;2023-08-26 19;27.3
1341;2023-08-26 20;27.15
1342;2023-08-26 21;26.6
1343;2023-08-26 22;28.18
1344;2023-08-26 23;34.47
1345;2023-08-27 00;37.3
1346;2023-08-27 01;43.25
1347;2023-08-27 02;48.35
1348;2023-08-27 03;41.49
1349;2023-08-27 04;42.98
1350;2023-08-27 05;45.64
1351;2023-08-27 06;45.15
1352;2023-08-27 07;40.87
1353;2023-08-27 08;39
1354;2023-08-27 09;32.29
1355;2023-08-27 10;31.34
1356;2023-08-27 11;36.14
1357;2023-08-27 12;31.2
1358;2023-08-27 13;32.75
1359;2023-08-27 14;40.33
1360;2023-08-27 15;46.57
1361;2023-08-27 16;41.28
1362;2023-08-27 17;32.11
1363;2023-08-27 18;27.93
1364;2023-08-27 19;21.6
1365;2023-08-27 20;17.47
1366;2023-08-27 21;19.42
1367;2023-08-27 22;23.55
1368;2023-08-27 23;23.16
1369;2023-08-28 00;30.61
1370;2023-08-28 01;28.96
1371;2023-08-28 02;29.44
1372;2023-08-28 03;30.5
1373;2023-08-28 04;32.15
1374;2023-08-28 05;29.29
1375;2023-08-28 06;29.41
1376;2023-08-28 07;28.18
1377;2023-08-28 08;29.6
1378;2023-08-28 09;27.09
1379;2023-08-28 10;25.06
1380;2023-08-28 11;22.19
1381;2023-08-28 12;30.28
1382;2023-08-28 13;22.92
1383;2023-08-28 14;27.62
1384;2023-08-28 15;38.66
1385;2023-08-28 16;43.1
1386;2023-08-28 17;38.81
1387;2023-08-28 18;38
1388;2023-08-28 19;35.3
1389;2023-08-28 20;31.12
1390;2023-08-28 21;29.76
1391;2023-08-28 22;28.35
1392;2023-08-28 23;29.39
1393;2023-08-29 00;37.74
1394;2023-08-29 01;46.61
1395;2023-08-29 02;41.15
1396;2023-08-29 03;40.52
1397;2023-08-29 04;43.32
1398;2023-08-29 05;57.22
1399;2023-08-29 06;56.52
1400;2023-08-29 07;47.46
1401;2023-08-29 08;59.95
1402;2023-08-29 09;54.38
1403;2023-08-29 10;50.68
1404;2023-08-29 11;42.08
1405;2023-08-29 12;51.05
1406;2023-08-29 13;59.53
1407;2023-08-29 14;60.51
1408;2023-08-29 15;56.84
1409;2023-08-29 16;50.9
1410;2023-08-29 17;42.73
1411;2023-08-29 18;34.66
1412;2023-08-29 19;26.23
1413;2023-08-29 20;28.44
1414;2023-08-29 21;35.79
1415;2023-08-29 22;30.26
1416;2023-08-29 23;31.24
1417;2023-08-30 00;38.48
1418;2023-08-30 01;44.7
1419;2023-08-30 02;37.95
1420;2023-08-30 03;39.26
1421;2023-08-30 04;38.91
1422;2023-08-30 05;37.75
1423;2023-08-30 06;35.71
1424;2023-08-30 07;32.97
1425;2023-08-30 08;32.25
1426;2023-08-30 09;28.33
1427;2023-08-30 10;29.76
1428;2023-08-30 11;26.28
1429;2023-08-30 12;21.95
1430;2023-08-30 13;27.91
1431;2023-08-30 14;38.92
1432;2023-08-30 15;54.58
1433;2023-08-30 16;49.34
1434;2023-08-30 17;32.21
1435;2023-08-30 18;27.85
1436;2023-08-30 19;25.46
1437;2023-08-30 20;21.39
1438;2023-08-30 21;18.2
1439;2023-08-30 22;19
1440;2023-08-30 23;27.61
1441;2023-08-31 00;35.05
1442;2023-08-31 01;25.09
1443;2023-08-31 02;18.88
1444;2023-08-31 03;22.62
1445;2023-08-31 04;17.61
1446;2023-08-31 05;12.89
1447;2023-08-31 06;11.44
1448;2023-08-31 07;12.82
1449;2023-08-31 08;15.04
1450;2023-08-31 09;14.56
1451;2023-08-31 10;16.45
1452;2023-08-31 11;17.98
1453;2023-08-31 12;20.64
1454;2023-08-31 13;21.57
1455;2023-08-31 14;26.56
1456;2023-08-31 15;27.94
1457;2023-08-31 16;26.97
1458;2023-08-31 17;29.46
1459;2023-08-31 18;34.73
1460;2023-08-31 19;26.8
1461;2023-08-31 20;29.8
1462;2023-08-31 21;24.25
1463;2023-08-31 22;23.59
1464;2023-08-31 23;16.48
1465;2023-09-01 00;17.8
1466;2023-09-01 01;14.93
1467;2023-09-01 02;17.75
1468;2023-09-01 03;19.1
1469;2023-09-01 04;13.89
1470;2023-09-01 05;14.74
1471;2023-09-01 06;13.05
1472;2023-09-01 07;12.54
1473;2023-09-01 08;20.86
1474;2023-09-01 09;24.79
1475;2023-09-01 10;16.24
1476;2023-09-01 11;21.51
1477;2023-09-01 12;29.15
1478;2023-09-01 13;36.19
1479;2023-09-01 14;41.22
1480;2023-09-01 15;42.6
1481;2023-09-01 16;52.78
1482;2023-09-01 17;55.34
1483;2023-09-01 18;46.03
1484;2023-09-01 19;42.37
1485;2023-09-01 20;47.2
1486;2023-09-01 21;47.41
1487;2023-09-01 22;40.27
1488;2023-09-01 23;36.57
1489;2023-09-02 00;41.59
1490;2023-09-02 01;49.39
1491;2023-09-02 02;47.7
1492;2023-09-02 03;47.57
1493;2023-09-02 04;46.3
1494;2023-09-02 05;48.76
1495;2023-09-02 06;44.16
1496;2023-09-02 07;40.53
1497;2023-09-02 08;52.78
1498;2023-09-02 09;53.7
1499;2023-09-02 10;37.09
1500;2023-09-02 11;29.47
1501;2023-09-02 12;25.55
1502;2023-09-02 13;22.53
1503;2023-09-02 14;32.02
1504;2023-09-02 15;41.23
1505;2023-09-02 16;34.08
1506;2023-09-02 17;36.97
1507;2023-09-02 18;30.5
1508;2023-09-02 19;30.54
1509;2023-09-02 20;41.21
1510;2023-09-02 21;48.69
1511;2023-09-02 22;46.43
1512;2023-09-02 23;45.08
1513;2023-09-03 00;50.98
1514;2023-09-03 01;42.8
1515;2023-09-03 02;44.23
1516;2023-09-03 03;41.69
1517;2023-09-03 04;46.41
1518;2023-09-03 05;47.1
1519;2023-09-03 06;38.2
1520;2023-09-03 07;37.22
1521;2023-09-03 08;27.23
1522;2023-09-03 09;21.46
1523;2023-09-03 10;15.32
1524;2023-09-03 11;17.58
1525;2023-09-03 12;20.77
1526;2023-09-03 13;29.89
1527;2023-09-03 14;25.24
1528;2023-09-03 15;23.28
1529;2023-09-03 16;23.76
1530;2023-09-03 17;23.07
1531;2023-09-03 18;26.7
1532;2023-09-03 19;42.18
1533;2023-09-03 20;31.3
1534;2023-09-03 21;15.68
1535;2023-09-03 22;14.65
1536;2023-09-03 23;22.19
1537;2023-09-04 00;23.84
1538;2023-09-04 01;28.91
1539;2023-09-04 02;25.94
1540;2023-09-04 03;24.36
1541;2023-09-04 04;18.16
1542;2023-09-04 05;21.77
1543;2023-09-04 06;16.1
1544;2023-09-04 07;12.27
1545;2023-09-04 08;12.97
1546;2023-09-04 09;14.71
1547;2023-09-04 10;16.4
1548;2023-09-04 11;17.68
1549;2023-09-04 12;19.26
1550;2023-09-04 13;26.05
1551;2023-09-04 14;25.59
1552;2023-09-04 15;23.94
1553;2023-09-04 16;34.24
1554;2023-09-04 17;30.45
1555;2023-09-04 18;25.76
1556;2023-09-04 19;31.11
1557;2023-09-04 20;31.83
1558;2023-09-04 21;32.08
1559;2023-09-04 22;25.52
1560;2023-09-04 23;21.33
1561;2023-09-05 00;28.59
1562;2023-09-05 01;31.34
1563;2023-09-05 02;38.41
1564;2023-09-05 03;22.06
1565;2023-09-05 04;28.76
1566;2023-09-05 05;28.27
1567;2023-09-05 06;29.81
1568;2023-09-05 07;26.17
1569;2023-09-05 08;26.47
1570;2023-09-05 09;32.31
1571;2023-09-05 10;24.84
1572;2023-09-05 11;20.21
1573;2023-09-05 12;23.05
1574;2023-09-05 13;48.33
1575;2023-09-05 14;50.48
1576;2023-09-05 15;47.65
1577;2023-09-05 16;41.3
1578;2023-09-05 17;40.06
1579;2023-09-05 18;32.09
1580;2023-09-05 19;23.92
1581;2023-09-05 20;20.17
1582;2023-09-05 21;23.26
1583;2023-09-05 22;23.52
1584;2023-09-05 23;30.27
1585;2023-09-06 00;30.76
1586;2023-09-06 01;35.67
1587;2023-09-06 02;39.14
1588;2023-09-06 03;36.14
1589;2023-09-06 04;33.29
1590;2023-09-06 05;41.63
1591;2023-09-06 06;34.01
1592;2023-09-06 07;30.02
1593;2023-09-06 08;27.74
1594;2023-09-06 09;23.49
1595;2023-09-06 10;25.01
1596;2023-09-06 11;31.14
1597;2023-09-06 12;29.19
1598;2023-09-06 13;21.6
1599;2023-09-06 14;20.78
1600;2023-09-06 15;23.19
1601;2023-09-06 16;29.61
1602;2023-09-06 17;35.38
1603;2023-09-06 18;35.08
1604;2023-09-06 19;33.52
1605;2023-09-06 20;31.76
1606;2023-09-06 21;39.84
1607;2023-09-06 22;41.48
1608;2023-09-06 23;38.63
1609;2023-09-07 00;40.45
1610;2023-09-07 01;40.89
1611;2023-09-07 02;39.59
1612;2023-09-07 03;42.38
1613;2023-09-07 04;40.46
1614;2023-09-07 05;36.65
1615;2023-09-07 06;32.46
1616;2023-09-07 07;22.27
1617;2023-09-07 08;14.74
1618;2023-09-07 09;10.29
1619;2023-09-07 10;12.21
1620;2023-09-07 11;17.31
1621;2023-09-07 12;16.3
1622;2023-09-07 13;17.19
1623;2023-09-07 14;23.16
1624;2023-09-07 15;27.71
1625;2023-09-07 16;28.23
1626;2023-09-07 17;30.35
1627;2023-09-07 18;27.06
1628;2023-09-07 19;25.46
1629;2023-09-07 20;30.55
1630;2023-09-07 21;33.35
1631;2023-09-07 22;30.63
1632;2023-09-07 23;32.2
1633;2023-09-08 00;26.41
1634;2023-09-08 01;16.26
1635;2023-09-08 02;16.11
1636;2023-09-08 03;17.17
1637;2023-09-08 04;22.77
1638;2023-09-08 05;27.04
1639;2023-09-08 06;25.45
1640;2023-09-08 07;23.22
1641;2023-09-08 08;23
1642;2023-09-08 09;17.53
1643;2023-09-08 10;13.86
1644;2023-09-08 11;15.96
1645;2023-09-08 12;19.97
1646;2023-09-08 13;22.47
1647;2023-09-08 14;24.94
1648;2023-09-08 15;38.52
1649;2023-09-08 16;33.94
1650;2023-09-08 17;36.66
1651;2023-09-08 18;35.41
1652;2023-09-08 19;33.45
1653;2023-09-08 20;28.63
1654;2023-09-08 21;25.61
1655;2023-09-08 22;31.56
1656;2023-09-08 23;31.12
1657;2023-09-09 00;38.6
1658;2023-09-09 01;50.84
1659;2023-09-09 02;47.18
1660;2023-09-09 03;43.52
1661;2023-09-09 04;40.58
1662;2023-09-09 05;39.57
1663;2023-09-09 06;41.05
1664;2023-09-09 07;34.55
1665;2023-09-09 08;20.99
1666;2023-09-09 09;15.07
1667;2023-09-09 10;14.66
1668;2023-09-09 11;18.71
1669;2023-09-09 12;18.03
1670;2023-09-09 13;25.1
1671;2023-09-09 14;21.62
1672;2023-09-09 15;20.68
1673;2023-09-09 16;21.16
1674;2023-09-09 17;25.38
1675;2023-09-09 18;21.67
1676;2023-09-09 19;21.55
1677;2023-09-09 20;24.47
1678;2023-09-09 21;31.08
1679;2023-09-09 22;40.2
1680;2023-09-09 23;41.97
1681;2023-09-10 00;35.63
1682;2023-09-10 01;34
1683;2023-09-10 02;30.74
1684;2023-09-10 03;30.52
1685;2023-09-10 04;27.77
1686;2023-09-10 05;33.66
1687;2023-09-10 06;34.9
1688;2023-09-10 07;33.81
1689;2023-09-10 08;34.22
1690;2023-09-10 09;36.45
1691;2023-09-10 10;31.25
1692;2023-09-10 11;31.94
1693;2023-09-10 12;52.66
1694;2023-09-10 13;51
1695;2023-09-10 14;52.39
1696;2023-09-10 15;45.68
1697;2023-09-10 16;44.45
1698;2023-09-10 17;46.23
1699;2023-09-10 18;44.98
1700;2023-09-10 19;40.23
1701;2023-09-10 20;41.5
1702;2023-09-10 21;33.92
1703;2023-09-10 22;29.1
1704;2023-09-10 23;30.86
1705;2023-09-11 00;25.18
1706;2023-09-11 01;27.77
1707;2023-09-11 02;32
1708;2023-09-11 03;36.33
1709;2023-09-11 04;29.8
1710;2023-09-11 05;36.1
1711;2023-09-11 06;38.02
1712;2023-09-11 07;27.62
1713;2023-09-11 08;26.57
1714;2023-09-11 09;32.69
1715;2023-09-11 10;29.31
1716;2023-09-11 11;25.78
1717;2023-09-11 12;29.37
1718;2023-09-11 13;41.9
1719;2023-09-11 14;42.34
1720;2023-09-11 15;44.13
1721;2023-09-11 16;44.41
1722;2023-09-11 17;25.47
1723;2023-09-11 18;21.57
1724;2023-09-11 19;23.18
1725;2023-09-11 20;26.31
1726;2023-09-11 21;28.17
1727;2023-09-11 22;34.84
1728;2023-09-11 23;40.18
1729;2023-09-12 00;40.66
1730;2023-09-12 01;40.16
1731;2023-09-12 02;50.94
1732;2023-09-12 03;52.85
1733;2023-09-12 04;50.87
1734;2023-09-12 05;60.29
1735;2023-09-12 06;71.78
1736;2023-09-12 07;69.24
1737;2023-09-12 08;72.16
1738;2023-09-12 09;69.88
1739;2023-09-12 10;56.06
1740;2023-09-12 11;39.68
1741;2023-09-12 12;43.44
1742;2023-09-12 13;35.13
1743;2023-09-12 14;30.92
1744;2023-09-12 15;25.42
1745;2023-09-12 16;29.21
1746;2023-09-12 17;30.99
1747;2023-09-12 18;32.25
1748;2023-09-12 19;23.17
1749;2023-09-12 20;18.46
1750;2023-09-12 21;16.71
1751;2023-09-12 22;16.59
1752;2023-09-12 23;22.41
1753;2023-09-13 00;28.71
1754;2023-09-13 01;21.82
1755;2023-09-13 02;16.6
1756;2023-09-13 03;23.08
1757;2023-09-13 04;20.43
1758;2023-09-13 05;26.21
1759;2023-09-13 06;24.9
1760;2023-09-13 07;28.2
1761;2023-09-13 08;49.25
1762;2023-09-13 09;46.45
1763;2023-09-13 10;45.79
1764;2023-09-13 11;42.05
1765;2023-09-13 12;32.72
1766;2023-09-13 13;26.76
1767;2023-09-13 14;24.23
1768;2023-09-13 15;24.72
1769;2023-09-13 16;26.71
1770;2023-09-13 17;27.96
1771;2023-09-13 18;24.1
1772;2023-09-13 19;28.74
1773;2023-09-13 20;37.99
1774;2023-09-13 21;43.05
1775;2023-09-13 22;50.6
1776;2023-09-13 23;55.83
1777;2023-09-14 00;41.24
1778;2023-09-14 01;38.84
1779;2023-09-14 02;49.82
1780;2023-09-14 03;47.94
1781;2023-09-14 04;55.27
1782;2023-09-14 05;35.26
1783;2023-09-14 06;17
1784;2023-09-14 07;18.23
1785;2023-09-14 08;21.15
1786;2023-09-14 09;25.31
1787;2023-09-14 10;21.16
1788;2023-09-14 11;24.96
1789;2023-09-14 12;23.28
1790;2023-09-14 13;13.16
1791;2023-09-14 14;7.652
1792;2023-09-14 15;9.66
1793;2023-09-14 16;8.97
1794;2023-09-14 17;15.45
1795;2023-09-14 18;20.38
1796;2023-09-14 19;25.51
1797;2023-09-14 20;30.94
1798;2023-09-14 21;46.71
1799;2023-09-14 22;38.3
1800;2023-09-14 23;31.23
1801;2023-09-15 00;29.52
1802;2023-09-15 01;20.9
1803;2023-09-15 02;25.54
1804;2023-09-15 03;29.61
1805;2023-09-15 04;35.75
1806;2023-09-15 05;40.89
1807;2023-09-15 06;33.38
1808;2023-09-15 07;25.81
1809;2023-09-15 08;21.14
1810;2023-09-15 09;20.81
1811;2023-09-15 10;28.43
1812;2023-09-15 11;30.42
1813;2023-09-15 12;32.27
1814;2023-09-15 13;30.05
1815;2023-09-15 14;37.16
1816;2023-09-15 15;46.83
1817;2023-09-15 16;43.2
1818;2023-09-15 17;42
1819;2023-09-15 18;40.8
1820;2023-09-15 19;44.96
1821;2023-09-15 20;37.16
1822;2023-09-15 21;35.61
1823;2023-09-15 22;39.64
1824;2023-09-15 23;26.03
1825;2023-09-16 00;26.47
1826;2023-09-16 01;33.2
1827;2023-09-16 02;35.83
1828;2023-09-16 03;37.6
1829;2023-09-16 04;51.19
1830;2023-09-16 05;42.27
1831;2023-09-16 06;26.47
1832;2023-09-16 07;29.86
1833;2023-09-16 08;21.16
1834;2023-09-16 09;20.84
1835;2023-09-16 10;22.72
1836;2023-09-16 11;23.93
1837;2023-09-16 12;38.06
1838;2023-09-16 13;51
1839;2023-09-16 14;65.84
1840;2023-09-16 15;78.04
1841;2023-09-16 16;84.8
1842;2023-09-16 17;59.22
1843;2023-09-16 18;42.98
1844;2023-09-16 19;43.97
1845;2023-09-16 20;33.83
1846;2023-09-16 21;24.39
1847;2023-09-16 22;21.97
1848;2023-09-16 23;24.49
1849;2023-09-17 00;27.14
1850;2023-09-17 01;40.03
1851;2023-09-17 02;34.09
