Nro;PERIODO;PM10
213;2023-07-10 20;43.54
214;2023-07-10 21;35.23
215;2023-07-10 22;38.4
216;2023-07-10 23;36.62
217;2023-07-11 00;34.05
218;2023-07-11 01;38.22
219;2023-07-11 02;40.13
220;2023-07-11 03;46.84
221;2023-07-11 04;45.31
222;2023-07-11 05;46.88
223;2023-07-11 06;40.21
224;2023-07-11 07;30.87
225;2023-07-11 08;31.74
226;2023-07-11 09;40.66
227;2023-07-11 10;39.4
228;2023-07-11 11;40.18
229;2023-07-11 12;51.88
230;2023-07-11 13;61.91
231;2023-07-11 14;68.99
232;2023-07-11 15;63.85
233;2023-07-11 16;63.28
234;2023-07-11 17;61.76
235;2023-07-11 18;59.46
236;2023-07-11 19;42.5
237;2023-07-11 20;33.31
238;2023-07-11 21;34.98
239;2023-07-11 22;33.44
240;2023-07-11 23;41.47
241;2023-07-12 00;44.28
242;2023-07-12 01;43.22
243;2023-07-12 02;44.49
244;2023-07-12 03;42
245;2023-07-12 04;44.66
246;2023-07-12 05;45.87
247;2023-07-12 06;37.43
248;2023-07-12 07;30.1
249;2023-07-12 08;23.13
250;2023-07-12 09;19.96
251;2023-07-12 10;23.22
252;2023-07-12 11;23.59
253;2023-07-12 12;26.81
254;2023-07-12 13;34.15
255;2023-07-12 14;32.95
256;2023-07-12 15;34.29
257;2023-07-12 16;38.67
258;2023-07-12 17;36.76
259;2023-07-12 18;31.5
260;2023-07-12 19;31.46
261;2023-07-12 20;32.92
262;2023-07-12 21;31.91
263;2023-07-12 22;34.92
264;2023-07-12 23;35.17
265;2023-07-13 00;31.33
266;2023-07-13 01;29.8
267;2023-07-13 02;31.49
268;2023-07-13 03;34.73
269;2023-07-13 04;30.9
270;2023-07-13 05;28.52
271;2023-07-13 06;26.29
272;2023-07-13 07;19.27
273;2023-07-13 08;25.83
274;2023-07-13 09;26.4
275;2023-07-13 10;31.2
276;2023-07-13 11;31.35
277;2023-07-13 12;36.76
278;2023-07-13 13;42.66
279;2023-07-13 14;47.55
280;2023-07-13 15;54.41
281;2023-07-13 16;56.49
282;2023-07-13 17;54.75
283;2023-07-13 18;50.05
284;2023-07-13 19;39.02
285;2023-07-13 20;32.66
286;2023-07-13 21;29.6
287;2023-07-13 22;25.98
288;2023-07-13 23;28.78
289;2023-07-14 00;35.08
290;2023-07-14 01;38.41
291;2023-07-14 02;33.06
292;2023-07-14 03;29.4
293;2023-07-14 04;29.13
294;2023-07-14 05;27.03
295;2023-07-14 06;27.24
296;2023-07-14 07;27
297;2023-07-14 08;19.12
298;2023-07-14 09;21.94
299;2023-07-14 10;22.84
300;2023-07-14 11;22.37
301;2023-07-14 12;21.89
302;2023-07-14 13;23.8
303;2023-07-14 14;26.45
304;2023-07-14 15;30.66
305;2023-07-14 16;39.74
306;2023-07-14 17;36.98
307;2023-07-14 18;40.86
308;2023-07-14 19;45.28
309;2023-07-14 20;41.72
310;2023-07-14 21;38.35
311;2023-07-14 22;42.93
312;2023-07-14 23;40.28
313;2023-07-15 00;39.39
314;2023-07-15 01;47.92
315;2023-07-15 02;51.13
316;2023-07-15 03;60.89
317;2023-07-15 04;50.08
318;2023-07-15 05;46.06
319;2023-07-15 06;37.61
320;2023-07-15 07;36.45
321;2023-07-15 08;48.44
322;2023-07-15 09;43.85
323;2023-07-15 10;34.33
324;2023-07-15 11;35.82
325;2023-07-15 12;42.14
326;2023-07-15 13;57.44
327;2023-07-15 14;56.3
328;2023-07-15 15;60.86
329;2023-07-15 16;62.83
330;2023-07-15 17;63.26
331;2023-07-15 18;57.2
332;2023-07-15 19;57.13
333;2023-07-15 20;38.11
334;2023-07-15 21;34.53
335;2023-07-15 22;39.94
336;2023-07-15 23;30.5
337;2023-07-16 00;25.21
338;2023-07-16 01;38.33
339;2023-07-16 02;43.72
340;2023-07-16 03;40.18
341;2023-07-16 04;40.25
342;2023-07-16 05;44.3
343;2023-07-16 06;42.56
344;2023-07-16 07;53.72
345;2023-07-16 08;60.87
346;2023-07-16 09;57.47
347;2023-07-16 10;49.22
348;2023-07-16 11;48.63
349;2023-07-16 12;59.29
350;2023-07-16 13;62.86
351;2023-07-16 14;90.6
352;2023-07-16 15;56.13
353;2023-07-16 16;46.88
354;2023-07-16 17;27.2
355;2023-07-16 18;23.95
356;2023-07-16 19;24.62
357;2023-07-16 20;25.07
358;2023-07-16 21;26.96
359;2023-07-16 22;30.2
360;2023-07-16 23;27.26
361;2023-07-17 00;21.42
362;2023-07-17 01;26.44
363;2023-07-17 02;32.91
364;2023-07-17 03;33.7
365;2023-07-17 04;27.57
366;2023-07-17 05;25.34
367;2023-07-17 06;25.42
368;2023-07-17 07;29.24
369;2023-07-17 08;33.61
370;2023-07-17 09;38.39
371;2023-07-17 10;36.92
372;2023-07-17 11;44.38
373;2023-07-17 12;41.56
374;2023-07-17 13;41.95
375;2023-07-17 14;38.45
376;2023-07-17 15;35.23
377;2023-07-17 16;39.72
378;2023-07-17 17;48.69
379;2023-07-17 18;57.03
380;2023-07-17 19;54.84
381;2023-07-17 20;40.77
382;2023-07-17 21;35.96
383;2023-07-17 22;21.55
384;2023-07-17 23;17.93
385;2023-07-18 00;19.32
386;2023-07-18 01;26.98
387;2023-07-18 02;34.09
388;2023-07-18 03;46.4
389;2023-07-18 04;43.66
390;2023-07-18 05;39.31
391;2023-07-18 06;38.21
392;2023-07-18 07;41.14
393;2023-07-18 08;41.44
394;2023-07-18 09;38.41
395;2023-07-18 10;36.83
396;2023-07-18 11;45.69
